##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRX5112341_SRR8297836.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	63209854
Total Bases	3.1 Gbp
Sequences flagged as poor quality	0
Sequence length	50
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.08877899006063	33.0	33.0	33.0	33.0	33.0
2	32.07921187414861	33.0	33.0	33.0	33.0	33.0
3	32.06901011035399	33.0	33.0	33.0	33.0	33.0
4	32.19810227690132	33.0	33.0	33.0	33.0	33.0
5	32.2191555924176	33.0	33.0	33.0	33.0	33.0
6	35.58533280269877	37.0	37.0	37.0	33.0	37.0
7	35.65497877909986	37.0	37.0	37.0	33.0	37.0
8	35.8599184076584	37.0	37.0	37.0	37.0	37.0
9	35.42017201938166	37.0	37.0	37.0	33.0	37.0
10	35.41560108650148	37.0	37.0	37.0	33.0	37.0
11	34.82095036954207	37.0	37.0	37.0	33.0	37.0
12	34.26437072612128	37.0	37.0	37.0	27.0	37.0
13	34.02315673755551	37.0	33.0	37.0	27.0	37.0
14	34.14599911906141	37.0	33.0	37.0	27.0	37.0
15	33.9094166551943	37.0	33.0	37.0	27.0	37.0
16	33.64019445449122	37.0	33.0	37.0	27.0	37.0
17	34.43485569512627	37.0	37.0	37.0	27.0	37.0
18	34.32686639333165	37.0	37.0	37.0	27.0	37.0
19	34.81987874865207	37.0	37.0	37.0	33.0	37.0
20	35.23398884927024	37.0	37.0	37.0	33.0	37.0
21	35.482002394753195	37.0	37.0	37.0	33.0	37.0
22	35.54796867589664	37.0	37.0	37.0	33.0	37.0
23	35.52095429614503	37.0	37.0	37.0	33.0	37.0
24	35.6295513512814	37.0	37.0	37.0	37.0	37.0
25	35.56671497769952	37.0	37.0	37.0	37.0	37.0
26	35.482921476135665	37.0	37.0	37.0	37.0	37.0
27	35.46604002597443	37.0	37.0	37.0	37.0	37.0
28	35.447015824463065	37.0	37.0	37.0	37.0	37.0
29	35.38533522004338	37.0	37.0	37.0	37.0	37.0
30	35.33039731431748	37.0	37.0	37.0	33.0	37.0
31	35.25121560951557	37.0	37.0	37.0	33.0	37.0
32	35.23612035237417	37.0	37.0	37.0	33.0	37.0
33	35.23497160743323	37.0	37.0	37.0	33.0	37.0
34	35.21828020675384	37.0	37.0	37.0	33.0	37.0
35	35.21409506815188	37.0	37.0	37.0	33.0	37.0
36	35.184384130993244	37.0	37.0	37.0	33.0	37.0
37	35.128738028725714	37.0	37.0	37.0	33.0	37.0
38	35.0833341586266	37.0	37.0	37.0	33.0	37.0
39	35.03579653893838	37.0	37.0	37.0	33.0	37.0
40	35.00022150027431	37.0	37.0	37.0	33.0	37.0
41	34.95710646634305	37.0	37.0	37.0	33.0	37.0
42	34.93042521503055	37.0	37.0	37.0	33.0	37.0
43	34.9362553977739	37.0	37.0	37.0	33.0	37.0
44	34.87238076835298	37.0	37.0	37.0	33.0	37.0
45	34.88313932824461	37.0	37.0	37.0	33.0	37.0
46	34.82319055823163	37.0	37.0	37.0	33.0	37.0
47	34.77093846791673	37.0	37.0	37.0	33.0	37.0
48	34.81115572581452	37.0	37.0	37.0	33.0	37.0
49	34.76606536696003	37.0	37.0	37.0	33.0	37.0
50	34.05529139491447	37.0	37.0	37.0	33.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	18	-1.0365256479365286
1103	19	-0.5511606271353315
1103	20	-0.4258660179245908
1103	21	-0.21218561672218073
1103	22	-0.16674888391595744
1103	23	-0.20325455449697927
1103	24	-0.16771229232960394
1103	25	-0.17258557748075987
1103	26	-0.19124202611482843
1103	27	-0.16842412916958693
1103	28	-0.22732621581430124
1103	29	-0.2309498996493673
1103	30	-0.20530910732787078
1103	31	-0.23200963018712173
1103	32	-0.22301124886124768
1103	33	-0.20287940557025053
1103	34	-0.2551323651691817
1103	35	-0.262695496077221
1103	36	-0.292613223394774
1103	37	-0.2505794679732034
1103	38	-0.333617881301727
1103	39	-0.3225340538194672
1103	40	-0.33158486436835233
1103	41	-0.3432867125363117
1103	42	-0.36332505369004053
1103	43	-0.3120385854275014
1103	44	-0.35659081122056335
1103	45	-0.30564042209174147
1103	46	-0.4085092033229003
1103	47	-0.3674375701127559
1103	48	-0.34070855102097397
1103	49	-0.331285909427109
1103	50	-0.4823460106444841
1104	1	0.10058940877066647
1104	2	-0.011528107787732722
1104	3	0.04675320551006479
1104	4	0.0052050393659257566
1104	5	-0.10879293102939869
1104	6	-0.11794319365908024
1104	7	-0.2560695453324513
1104	8	-0.19729260571507012
1104	9	-0.41798713402832277
1104	10	-0.43488627318231465
1104	11	-0.6878077561051157
1104	12	-1.1045829098337023
1104	13	-1.2156650974530194
1104	14	-1.144268892191178
1104	15	-1.3370062445234723
1104	16	-1.5999667255195575
1104	17	-1.0261027253637707
1104	18	-0.942355459704487
1104	19	-0.5326908953199805
1104	20	-0.4449983836690308
1104	21	-0.26016186617008685
1104	22	-0.2131095462827659
1104	23	-0.188626252129815
1104	24	-0.18994588048874306
1104	25	-0.20912854580159745
1104	26	-0.20046931908616727
1104	27	-0.22160685633645727
1104	28	-0.23493182056147788
1104	29	-0.19840847628753266
1104	30	-0.20085747058696057
1104	31	-0.2504659388878281
1104	32	-0.26047361704686267
1104	33	-0.2261974314136168
1104	34	-0.217203236542872
1104	35	-0.20536443156921536
1104	36	-0.2500106521815155
1104	37	-0.21367090900176322
1104	38	-0.31355979058091776
1104	39	-0.3150406663107006
1104	40	-0.3049166520787736
1104	41	-0.3378316127378085
1104	42	-0.35076604567807124
1104	43	-0.3257929685418688
1104	44	-0.35591954150442007
1104	45	-0.30216036188708273
1104	46	-0.4112811849814477
1104	47	-0.333171649966836
1104	48	-0.2887358408999461
1104	49	-0.3273258336435134
1104	50	-0.504542803971681
1105	1	0.14502095157146755
1105	2	0.04571353463573047
1105	3	0.15633134104827917
1105	4	0.09415705835436228
1105	5	0.03854911767808744
1105	6	0.07114257616036923
1105	7	0.03491249193048418
1105	8	-0.053380517226322866
1105	9	-0.27428137674412767
1105	10	-0.2645050545710461
1105	11	-0.5371117718122846
1105	12	-0.8215071544933679
1105	13	-1.0077835960415484
1105	14	-0.9202157962115933
1105	15	-1.101110033051981
1105	16	-1.3784436918938283
1105	17	-0.8051879191698958
1105	18	-0.8653348600801394
1105	19	-0.5085620370294777
1105	20	-0.28133719771099663
1105	21	-0.12674914970565965
1105	22	-0.08788918097472731
1105	23	-0.050729256155676694
1105	24	-0.004939138268291288
1105	25	-0.04059667090767505
1105	26	-0.028811880971034043
1105	27	-0.03006480624315344
1105	28	-0.07921863112950689
1105	29	-0.07261087492440765
1105	30	-0.07003805529681983
1105	31	-0.09373122269416712
1105	32	-0.14542481622651593
1105	33	-0.11742458731549021
1105	34	-0.1384047142309086
